b,alpha
1.035,0.005758708743792272
1.035,0.011517066967417396
1.035,0.01727474416774362
1.035,0.023031410088319514
1.035,0.028786734841309565
1.035,0.03454038902576462
1.035,0.04029204384845649
1.035,0.04604137124155877
1.035,0.05178804398200844
1.035,0.057531735808640815
1.035,0.06327212153847417
1.035,0.06900887718296009
1.035,0.07474168006221307
1.035,0.08047020891874636
1.035,0.08619414402936602
1.06,0.09191316731620534
1.06,0.09762696245619559
1.06,0.10333521498846313
1.06,0.10903761242115666
1.06,0.11473384433532284
1.06,0.12042360248803899
1.06,0.12610658091296062
1.06,0.1317824760193232
1.06,0.13745098668865058
1.06,0.14311181436958778
1.06,0.1487646631703347
1.06,0.15440923994910147
1.06,0.16004525440200926
1.06,0.16567241914885897
1.06,0.17129044981636932
1.06,0.176899065119037
1.06,0.18249798693743263
1.06,0.18808694039395796
1.06,0.19366565392617446
1.06,0.19923385935718274
1.06,0.2047912919637764
1.06,0.2103376905415811
1.06,0.21587279746761864
1.06,0.22139635876017993
1.06,0.22690812413594016
1.06,0.23240784706421747
1.085,0.23789528481870295
1.085,0.24337019852610023
1.085,0.24883235321233083
1.085,0.2542815178456646
1.085,0.25971746537729934
1.085,0.2651399727791173
1.085,0.27054882107855854
1.085,0.2759437953909704
1.085,0.2813246849490747
1.085,0.2866912831298007
1.085,0.29204338747839864
1.085,0.2973807997299198
1.085,0.3027033258280314
1.085,0.30801077594130544
1.085,0.31330296447682543
1.085,0.31857971009135305
1.085,0.3238408356999334
1.085,0.3290861684820563
1.085,0.334315539885465
1.085,0.33952878562742467
1.085,0.3447257456938531
1.085,0.34990626433601446
1.085,0.3550701900650314
1.085,0.36021737564421813
1.085,0.3653476780792496
1.085,0.37046095860623823
1.085,0.37555708267778276
1.085,0.38063591994705614
1.16,0.3856973442499208
1.16,0.39074123358516466
1.16,0.39576747009303714
1.16,0.40077594003180594
1.16,0.40576653375283706
1.16,0.41073914567389663
1.16,0.4156936742508672
1.16,0.4206300219479958
1.16,0.42554809520661874
1.16,0.4304478044124718
1.16,0.4353290638616911
1.16,0.44019179172543343
1.16,0.44503591001334264
1.16,0.44986134453577026
1.16,0.45466802486487706
1.16,0.459455884294706
1.16,0.46422485980016254
1.16,0.46897489199514236
1.16,0.47370592508963466
1.16,0.47841790684606533
1.185,0.48311078853480816
1.185,0.4877845248889415
1.185,0.492439074058349
1.185,0.4970743975631403
1.185,0.5016904602464903
1.185,0.5062872302269547
1.185,0.5108646788502841
1.185,0.515422780640773
1.185,0.5199615132522287
1.21,0.5244808574185821
1.21,0.5289807969041798
1.21,0.5334613184538227
1.21,0.5379224117425575
1.21,0.5423640693253139
1.21,0.546786286586352
1.21,0.5511890616886558
1.21,0.5555723955232151
1.235,0.5599362916582922
1.235,0.5642807562886969
1.235,0.5686057981850823
1.235,0.5729114286433242
1.235,0.577197661433981
1.235,0.5814645127519208
1.235,0.585712001166064
1.26,0.5899401475693503
1.26,0.5941489751288981
1.26,0.5983385092364442
1.26,0.6025087774589779
1.26,0.6066598094897655
1.26,0.6107916370995847
1.26,0.61490429408837
1.26,0.6189978162372051
1.285,0.6230722412606243
1.285,0.6271276087594179
1.285,0.6311639601737391
1.285,0.6351813387367334
1.285,0.6391797894285419
1.285,0.6431593589308017
1.31,0.6471200955816175
1.31,0.651062049330997
1.31,0.6549852716968195
1.31,0.6588898157212801
1.31,0.6627757359278745
1.31,0.6666430882789108
1.31,0.6704919301335484
1.335,0.6743223202064051
1.335,0.678134318526708
1.335,0.6819279863979844
1.335,0.6857033863583626
1.335,0.6894605821414017
1.335,0.6931996386375465
1.36,0.6969206218561
1.36,0.700623598887843
1.36,0.7043086378682032
1.36,0.70797580794103
1.36,0.7116251792229543
1.36,0.7152568227683391
1.36,0.7188708105348259
1.385,0.7224672153494883
1.385,0.7260461108755534
1.385,0.7296075715797328
1.385,0.7331516727001527
1.385,0.7366784902148453
1.385,0.7401881008108684
1.41,0.7436805818539717
1.41,0.7471560113588771
1.41,0.750614467960132
1.41,0.7540560308835207
1.41,0.7574807799180896
1.435,0.7608887953886935
1.435,0.7642801581291613
1.435,0.7676549494559808
1.435,0.7710132511425611
1.435,0.7743551453940452
1.435,0.7776807148226782
1.46,0.7809900424236925
1.46,0.784283211551771
1.46,0.7875603058980023
1.46,0.7908214094673898
1.46,0.7940666065568678
1.46,0.7972959817338376
1.485,0.8005096198152087
1.485,0.803707605846956
1.485,0.8068900250841448
1.485,0.8100569629714828
1.485,0.8132085051243195
1.485,0.8163447373101519
1.485,0.8194657454305828
1.485,0.8225716155037526
1.535,0.8256624336472255
1.535,0.8287382860613163
1.535,0.8317992590128886
1.535,0.8348454388195565
1.535,0.8378769118343392
1.535,0.8408937644307304
1.535,0.8438960829881985
1.56,0.8468839538780649
1.56,0.8498574634498257
1.56,0.8528166980178443
1.56,0.8557617438484343
1.56,0.8586926871473429
1.585,0.8616096140475944
1.585,0.8645126105977097
1.585,0.8674017627502895
1.585,0.870277156350953
1.585,0.8731388771276327
1.585,0.875987010680197
1.585,0.8788216424704351
1.585,0.8816428578123452
1.635,0.8844507418627708
1.635,0.8872453796123454
1.635,0.890026855876744
1.635,0.892795255288249
1.635,0.8955506622876173
1.635,0.898293161116236
1.635,0.9010228358085646
1.66,0.9037397701848685
1.66,0.9064440478442197
1.66,0.9091357521577752
1.66,0.9118149662623145
1.66,0.9144817730540408
1.66,0.9171362551826361
1.66,0.9197784950455619
1.71,0.9224085747826098
1.71,0.9250265762706795
1.71,0.9276325811188006
1.71,0.9302266706633767
1.71,0.9328089259636506
1.71,0.9353794277973975
1.71,0.937938256656814
1.735,0.9404854927446342
1.735,0.943021215970434
1.735,0.9455455059471477
1.735,0.9480584419877651
1.76,0.9505601031022316
1.76,0.9530505679945287
1.76,0.9555299150599305
1.76,0.9579982223824495
1.76,0.9604555677324453
1.785,0.9629020285644052
1.785,0.9653376820148947
1.785,0.9677626049006601
1.785,0.9701768737169018
1.81,0.9725805646356863
1.81,0.9749737535045175
1.81,0.9773565158450576
1.81,0.97972892685198
1.835,0.9820910613919748
1.835,0.9844429940028777
1.835,0.9867847988929461
1.835,0.9891165499402522
1.835,0.9914383206922115
1.86,0.9937501843652331
1.86,0.9960522138444869
1.86,0.9983444816837985
1.86,1.0006270601056444
1.86,1.0029000210012764
1.86,1.005163435930945
1.86,1.0074173761242318
1.86,1.0096619124804875
1.86,1.011897115569374
1.86,1.014123055631504
1.96,1.016339802579178
1.96,1.0185474259972174
1.96,1.020745995143891
1.96,1.0229355789519308
1.96,1.0251162460296364
1.96,1.0272880646620723
1.96,1.0294511028123368
1.96,1.0316054281229303
1.96,1.03375110791719
1.96,1.035888209200814
1.96,1.038016798663458
1.96,1.04013694268041
1.96,1.042248707314337
1.96,1.0443521583171071
1.96,1.0464473611316816
1.96,1.04853438089408
1.96,1.0506132824354057
1.96,1.0526841302839478
1.96,1.0547469886673457
2.11,1.0568019215148152
2.11,1.058848992459443
2.11,1.0608882648405418
2.11,1.062919801706065
2.11,1.0649436658150857
2.11,1.0669599196403317
2.11,1.068968625370782
2.11,1.0709698449143188
2.11,1.0729636399004383
2.11,1.0749500716830171
2.11,1.0769292013431322
2.11,1.0789010896919415
2.11,1.0808657972736138
2.11,1.0828233843683124
2.11,1.0847739109952361
2.16,1.0867174369157109
2.16,1.0886540216363327
2.16,1.090583724412167
2.16,1.0925066042499934
2.16,1.0944227199116106
2.185,1.0963321299171858
2.185,1.0982348925486582
2.185,1.1001310658531964
2.185,1.1020207076467026
2.21,1.1039038755173718
2.21,1.1057806268292993
2.21,1.1076510187261448
2.235,1.109515108134841
2.235,1.111372951769365
2.235,1.113224606134547
2.235,1.1150701275299486
2.26,1.1169095720537787
2.26,1.1187429956068762
2.26,1.1205704538967356
2.285,1.122392002441595
2.285,1.1242076965745762
2.285,1.1260175914478798
2.31,1.1278217420370402
2.31,1.1296202031452336
2.31,1.1314130294076492
2.31,1.1332002752959154
2.31,1.134981995122588
2.31,1.1367582430457017
2.31,1.1385290730733786
2.31,1.1402945390685062
2.31,1.1420546947534769
2.31,1.143809593714994
2.435,1.1455592894089444
2.435,1.1473038351653435
2.435,1.1490432841933467
2.435,1.1507776895863366
2.435,1.1525071043270798
2.435,1.1542315812929647
2.435,1.1559511732613097
2.435,1.1576659329147596
2.435,1.159375912846756
2.435,1.1610811655670947
2.435,1.1627817435075682
2.485,1.1644776990276968
2.485,1.1661690844205506
2.485,1.1678559519186607
2.485,1.169538353700034
2.485,1.1712163418942585
2.51,1.1728899685887153
2.51,1.1745592858348899
2.51,1.1762243456547967
2.51,1.1778852000475113
2.56,1.1795419009958132
2.56,1.1811945004729545
2.56,1.1828430504495406
2.56,1.1844876029005422
2.585,1.1861282098124328
2.585,1.1877649231904612
2.585,1.1893977950660584
2.61,1.1910268775043902
2.61,1.1926522226120513
2.61,1.1942738825449135
2.635,1.195891909516131
2.635,1.1975063558043006
2.635,1.1991172737617986
2.66,1.2007247158232777
2.66,1.202328734514353
2.66,1.2039293824604649
2.66,1.205526712395935
2.66,1.2071207771732175
2.735,1.2087116297723572
2.735,1.210299323310655
2.735,1.2118839110525523
2.735,1.2134654464197443
2.735,1.2150439830015212
2.735,1.2166195745653592
2.735,1.2181922750677552
2.735,1.2197621386653266
2.735,1.2213292197261783
2.735,1.222893572841548
2.835,1.2244552528377444
2.835,1.2260143147883817
2.835,1.2275708140269261
2.835,1.2291248061595685
2.835,1.2306763470784274
2.835,1.2322254929751009
2.86,1.2337723003545817
2.86,1.2353168260495428
2.86,1.2368591272350153
2.86,1.2383992614434656
2.91,1.239937286580297
2.91,1.2414732609397823
2.91,1.2430072432214516
2.935,1.2445392925469505
2.935,1.2460694684773845
2.935,1.2475978310311755
2.935,1.2491244407024453
2.985,1.2506493584799476
2.985,1.2521726458665767
2.985,1.2536943648994663
2.985,1.2552145781707131
2.985,1.2567333488487424
2.985,1.2582507407003483
3.06,1.259766818113433
3.06,1.2612816461204759
3.06,1.2627952904227644
3.06,1.2643078174154156
3.085,1.2658192942132258
3.085,1.2673297886773822
3.11,1.2688393694430742
3.11,1.2703481059480422
3.11,1.271856068462108
3.11,1.2733633281177288
3.16,1.2748699569416153
3.16,1.2763760278874734
3.16,1.2778816148699057
3.16,1.2793867927995373
3.16,1.2808916376194128
3.235,1.2823962263427322
3.235,1.283900637091976
3.235,1.2854049491394965
3.235,1.286909242949634
3.235,1.2884136002224378
3.285,1.2899181039390613
3.285,1.291422838408917
3.285,1.2929278893186757
3.31,1.2944333437831945
3.31,1.2959392903984757
3.335,1.2974458192967504
3.335,1.2989530222037977
3.36,1.3004609924986075
3.36,1.3019698252755068
3.385,1.3034796174088767
3.385,1.3049904676205901
3.385,1.3065024765503108
3.435,1.3080157468288092
3.435,1.3095303831544418
3.435,1.311046492372974
3.485,1.3125641835609168
3.485,1.3140835681125687
3.485,1.3156047598309657
3.51,1.3171278750229505
3.51,1.3186530325985897
3.51,1.3201803541751806
3.585,1.3217099641861065
3.585,1.323241989994811
3.585,1.324776562014187
3.585,1.326313813831693
3.585,1.3278538823405246
3.66,1.3293969078772006
3.66,1.3309430343659387
3.66,1.3324924094702322
3.66,1.3340451847520507
3.66,1.3356015158391379
3.735,1.3371615626008961
3.735,1.3387254893333898
3.735,1.3402934649540381
3.735,1.3418656632066048
3.785,1.3434422628771394
3.785,1.3450234480215753
3.81,1.346609408205734
3.81,1.3482003387585517
3.81,1.349796441039396
3.885,1.3513979227204125
3.885,1.3530049980849137
3.885,1.3546178883428956
3.885,1.356236821964858
3.885,1.3578620350351938
3.885,1.3594937716265174
4.01,1.3611322841964029
4.01,1.3627778340081365
4.01,1.3644306915772044
4.01,1.3660911371453885
4.035,1.3677594611844934
4.085,1.3694359649319003
4.085,1.3711209609603294
4.085,1.372814773784389
4.16,1.3745177405067255
4.16,1.376230211506813
4.16,1.3779525511757076
4.21,1.3796851387003644
4.21,1.3814283689014522
4.235,1.3831826531289386
4.26,1.3849484202201112
4.285,1.386726117525119
4.285,1.3885162120055863
4.31,1.3903191914123492
4.36,1.39213556554894
4.36,1.3939658676280389
4.36,1.3958106557287946
4.435,1.3976705143636505
4.435,1.3995460561641102
4.485,1.4014379236957715
4.485,1.4033467914139022
4.51,1.4052733677719016
4.56,1.4072183974961137
4.585,1.409182664041711
4.585,1.411166992245704
4.635,1.4131722511945664
4.66,1.4151993573255208
4.71,1.4172492777821568
4.71,1.419323034046786
4.76,1.4214217058737224
4.785,1.4235464355495155
4.81,1.4256984325079802
4.86,1.427878978329627
4.86,1.4300894321567064
4.935,1.4323312365563867
4.935,1.4346059238654745
5.01,1.4369151230502564
5.01,1.4392605671142404
5.06,1.441644101084333
5.06,1.444067690601757
5.135,1.4465334311370295
5.135,1.4490435578375744
5.21,1.4516004560007003
5.235,1.4542066721419757
5.285,1.4568649255971786
5.335,1.459578120551973
5.385,1.4623493583333547
5.41,1.4651819497156964
5.46,1.4680794268854398
5.51,1.4710455545640455
5.56,1.4740843395985426
5.61,1.4772000380806625
5.66,1.480397158734425
5.71,1.4836804609016694
5.76,1.4870549449378752
5.835,1.490525832190465
5.885,1.49409853095794
5.935,1.4977785839227142
6.01,1.5015715915402934
6.06,1.5054831048223452
6.135,1.5095184800104013
6.185,1.5136826870430846
6.26,1.517980063858498
6.335,1.5224140100071384
6.385,1.5269866165243948
6.46,1.5316982353896778
6.535,1.5365470019739962
6.585,1.5415283379868363
6.66,1.5466344798586535
6.735,1.5518540957423976
6.785,1.5571720685907187
6.835,1.562569526223332
6.91,1.5680241847433847
6.96,1.5735110348614512
7.01,1.5790033443554456
7.06,1.5844738859392202
7.085,1.58989624714489
7.135,1.595246056129808
7.16,1.6005019739578066
7.21,1.6056463546171031
7.235,1.6106655413221476
7.235,1.6155498303786895
7.26,1.6202931765538622
7.285,1.624892731210065
7.285,1.6293483002317874
7.31,1.6336617913891218
7.31,1.6378366987480704
7.335,1.6418776511119901
7.335,1.6457900353192334
7.335,1.6495796942463956
7.335,1.6532526929451903
7.335,1.656815143325984
7.335,1.660273077034214
7.36,1.6636323567085758
7.36,1.6668986169967746
7.36,1.670077228111867
7.36,1.6731732760967213
7.335,1.6761915552047764
7.335,1.679136568855955
7.335,1.6820125364834673
7.335,1.684823404267538
7.335,1.6875728582814915
7.335,1.6902643389811856
7.335,1.6929010562755433
7.335,1.6954860046454068
7.335,1.6980219779478924
7.335,1.7005115836680647
7.335,1.7029572564701931
7.31,1.7053612709657393
7.31,1.7077257536611028
7.31,1.7100526940800154
7.31,1.7123439550770614
7.31,1.7146012823729233
7.31,1.7168263133506716
7.31,1.7190205851573057
7.31,1.7211855421569298
7.285,1.723322542782238
