b,alpha
0.535,0.057236124236148773
0.535,0.1140999869681894
0.535,0.170233848287881
0.535,0.22530725872420607
0.535,0.27902755655794664
0.56,0.3311471793697916
0.56,0.3814675434969671
0.585,0.42983968095295133
0.585,0.47616214867394535
0.61,0.5203769051180346
0.61,0.5624638910941112
0.635,0.6024349877951788
0.66,0.6403278983036151
0.66,0.676200348841536
0.685,0.7101248617795993
0.71,0.7421842308731206
0.71,0.7724677370346349
0.76,0.8010680797886572
0.76,0.8280789611738949
0.81,0.8535932394951236
0.81,0.8777015644141237
0.86,0.9004914075507134
0.86,0.9220464104176197
0.91,0.942445981474662
0.91,0.9617650846766685
0.935,0.980074172037444
0.96,0.9974392219031007
0.985,1.0139218525648228
1.035,1.0295794875251962
1.035,1.044465554218119
1.06,1.058629702415511
1.085,1.0721180320757644
1.085,1.084973323154014
1.16,1.0972352620377142
1.185,1.1089406609143213
1.21,1.120123667626702
1.235,1.130815964503578
1.26,1.1410469553459137
1.285,1.15084394025211
1.31,1.1602322783251793
1.335,1.169235538554755
1.36,1.1778756393359826
1.385,1.1861729771926701
1.41,1.194146545335621
1.46,1.2018140427135418
1.485,1.2091919742212651
1.485,1.2162957427167986
1.535,1.2231397334773684
1.56,1.229737391694497
1.585,1.236101293573766
1.635,1.242243211569053
1.66,1.248174174243714
1.66,1.2539045212145636
1.71,1.259443953599097
1.735,1.26480158035237
1.76,1.269985960847647
1.785,1.275005144025303
1.81,1.2798667044060767
1.86,1.2845777752391738
1.86,1.2891450790318144
1.96,1.2935749556847338
1.96,1.2978733884385725
1.96,1.3020460278172505
1.96,1.306098213738096
1.96,1.3100349959431563
2.11,1.313861152892318
2.11,1.3175812092462587
2.11,1.3211994520558805
2.16,1.32471994576451
2.185,1.328146546119676
2.21,1.33148291308279
2.235,1.3347325228173645
2.26,1.3378986788291423
2.285,1.3409845223254666
2.31,1.3439930418551025
2.31,1.3469270822846318
2.435,1.349789353162736
2.435,1.3525824365193146
2.435,1.3553087941424051
2.485,1.3579707743723537
2.51,1.3605706184493205
2.51,1.3631104664473204
2.56,1.3655923628252011
2.585,1.368018261622523
2.61,1.3703900313260982
