b,alpha
0.6,0.0
0.6,0.057236124236148773
0.6,0.11409979163150127
0.6,0.17023288715699794
0.6,0.2253046262795805
0.6,0.2790220695165824
0.6,0.3311374444244597
0.6,0.381452028274862
0.6,0.42981678194652284
0.6,0.47613025138834403
0.6,0.5203344336114082
0.6,0.5624093458137808
0.65,0.6023669719869506
0.65,0.640245134221311
0.65,0.6761016854753364
0.65,0.71000927596975
0.65,0.7420508235891676
0.65,0.7723157263754649
0.85,0.8008967919795104
0.85,0.8278878205387661
0.85,0.8533817581323174
0.85,0.8774693320729927
0.85,0.9002380820393742
0.85,0.9217717087312192
0.9,0.942149671742195
0.9,0.9614469789522022
0.9,0.9797341199207319
1.0,0.997077104940801
1.0,1.0135375793741361
1.0,1.0291729895693216
1.05,1.0440367821640262
1.05,1.05817862300534
1.1,1.0716446254485232
1.1,1.0844775805585203
1.15,1.0967171838840677
1.15,1.1084002551175032
1.2,1.1195609482006537
1.25,1.1302309503702161
1.25,1.140439669327535
1.3,1.150214408220827
1.3,1.1595805284857776
1.35,1.1685616008412572
1.35,1.1771795449049458
1.4,1.1854547579989256
1.4,1.1934062337775484
1.45,1.2010516713380168
1.5,1.208407575478638
1.5,1.2154893487586007
1.55,1.222311375990332
1.55,1.2288871017649785
1.6,1.2352291015782038
1.6,1.2413491470862956
1.65,1.2472582659857558
1.65,1.2529667969730327
1.75,1.2584844402046917
1.75,1.2638203036453826
1.75,1.2689829456577628
1.75,1.2739804141590514
1.85,1.2788202826407313
1.85,1.283509683321995
1.85,1.2880553376836688
1.9,1.2924635846073496
1.95,1.2967404063246784
1.95,1.3008914523631314
2.0,1.3049220616579797
2.0,1.3088372829851265
2.05,1.3126418938552922
2.05,1.3163404179978435
2.15,1.319937141550817
2.15,1.3234361280634783
2.15,1.3268412324083114
2.2,1.3301561136908204
2.2,1.3333842472376107
2.25,1.3365289357364556
2.25,1.3395933195953846
2.35,1.3425803865822206
2.35,1.345492980800643
2.35,1.3483338110540777
2.4,1.3511054586443698
2.4,1.3538103846483083
2.45,1.356450936711284
2.45,1.3590293553943644
2.55,1.3615477801078057
2.55,1.3640082546615897
2.55,1.3664127324608006
2.65,1.3687630813716605
2.65,1.3710610882818413
2.65,1.3733084633768222
2.7,1.3755068441523277
2.7,1.3776577991813665
2.75,1.3797628316529
2.75,1.3818233826978572
2.85,1.3838408345170337
2.85,1.3858165133243165
2.85,1.3877516921176063
2.9,1.389647593288959
2.9,1.391505391084545
2.95,1.3933262139242877
3.0,1.3951111465903214
3.0,1.3968612322926863
3.05,1.398577474620184
3.05,1.4002608393836145
3.1,1.4019122563582163
3.15,1.4035326209316061
3.15,1.405122795663051
3.15,1.40668361175955
3.25,1.4082158704737873
3.25,1.409720344428696
3.3,1.4111977788730388
3.3,1.4126488928721135
3.3,1.4140743804374292
3.4,1.41547491159893
3.4,1.4168511334231215
3.4,1.4182036709802104
3.45,1.4195331282632089
3.5,1.4208400890617174
3.5,1.422125117792966
3.55,1.4233887602924973
3.55,1.424631544566748
3.6,1.4258539815096443
3.6,1.427056565585161
3.6,1.4282397754777354
3.6,1.4294040747122407
3.8,1.4305499122451828
3.8,1.4316777230286317
3.8,1.4327879285483551
3.8,1.4338809373374914
3.8,1.4349571454670513
3.8,1.4360169370144462
3.8,1.4370606845111744
4.0,1.4380887493707364
4.0,1.4391014822977761
4.0,1.4400992236794012
4.0,1.4410823039595777
4.0,1.4420510439974314
4.1,1.4430057554102649
4.1,1.4439467409020321
4.15,1.444874294577984
4.15,1.4457887022461549
4.2,1.4466902417063232
4.2,1.4475791830270481
4.25,1.4484557888113427
4.25,1.4493203144515343
4.25,1.4501730083737945
4.25,1.4510141122728564
4.45,1.451843861337339
4.45,1.4526624844661307
4.45,1.4534702044762406
4.45,1.4542672383024977
4.5,1.4550537971894733
4.5,1.4558300868759704
4.55,1.4565963077724187
4.55,1.4573526551314873
4.6,1.4580993192122091
4.6,1.4588364854379088
4.7,1.459564334548201
4.7,1.4602830427453184
4.7,1.460992781835008
4.8,1.4616937193622341
4.8,1.4623860187419089
4.8,1.463069839384853
4.8,1.4637453368192004
4.9,1.4644126628074265
4.9,1.4650719654591837
4.9,1.4657233893401278
5.0,1.466367075576881
5.0,1.46700316195831
5.0,1.4676317830332548
5.0,1.4682530702048595
5.1,1.4688671518216343
5.1,1.4694741532653894
5.15,1.470074197036157
5.15,1.470667402834221
5.2,1.4712538876393744
5.2,1.471833765787509
5.25,1.4724071490446358
5.3,1.4729741466784472
5.3,1.473534865527506
5.35,1.474089410068154
5.35,1.4746378824792328
5.4,1.4751803827046903
5.45,1.475717008514163
5.45,1.4762478555615983
5.5,1.476773017442001
5.5,1.4772925857463686
5.55,1.4778066501148786
5.55,1.4783152982884002
5.6,1.4788186161583856
5.65,1.4793166878152009
5.65,1.4798095955949535
5.7,1.4802974201248738
5.7,1.4807802403672932
5.75,1.4812581336622819
5.8,1.481731175768979
5.8,1.4821994409056782
5.85,1.4826630017886933
5.85,1.483121929670064
5.9,1.4835762943741317
5.95,1.4840261643330268
5.95,1.4844716066211074
6.0,1.4849126869883809
6.0,1.485349469892948
6.05,1.485782018532499
6.05,1.4862103948748961
6.1,1.4866346596878701
6.15,1.4870548725678658
6.15,1.4874710919680585
6.2,1.4878833752255736
6.2,1.4882917785879346
6.25,1.4886963572387624
6.3,1.489097165322755
6.3,1.4894942559699653
6.35,1.4898876813194064
6.35,1.4902774925419981
6.4,1.4906637398628848
6.4,1.4910464725831372
6.45,1.4914257391008607
6.5,1.4918015869317314
6.5,1.4921740627289721
6.55,1.4925432123027915
6.55,1.4929090806393017
6.6,1.4932717119189265
6.65,1.493631149534323
6.65,1.493987436107826
