b,alpha
0.035,0.057236124236148773
0.035,0.1140999869681894
0.035,0.170233848287881
0.035,0.22530725872420607
0.035,0.27902755655794664
0.035,0.3311471793697916
0.035,0.3814675434969671
0.035,0.42983968095295133
0.035,0.47616214867394535
0.035,0.5203769051180346
0.035,0.5624638910941112
0.035,0.6024349877951788
0.035,0.6403278983036151
0.035,0.676200348841536
0.035,0.7101248617795993
0.035,0.7421842308731206
0.035,0.7724677370346349
0.085,0.8010680797886572
0.085,0.8280789611738949
0.085,0.8535932394951236
0.085,0.8777015644141237
0.085,0.9004914075507134
0.085,0.9220464104176197
0.085,0.942445981474662
0.085,0.9617650846766685
0.085,0.980074172037444
0.085,0.9974392219031007
0.085,1.0139218525648228
0.085,1.0295794875251962
0.085,1.044465554218119
0.085,1.058629702415511
0.085,1.0721180320757644
0.085,1.084973323154014
0.085,1.0972352620377142
0.085,1.1089406609143213
0.085,1.120123667626702
0.085,1.130815964503578
0.085,1.1410469553459137
0.085,1.15084394025211
0.085,1.1602322783251793
0.085,1.169235538554755
0.085,1.1778756393359826
0.085,1.1861729771926701
0.085,1.194146545335621
0.11,1.2018140427135418
0.11,1.2091919742212651
0.11,1.2162957427167986
0.11,1.2231397334773684
0.11,1.229737391694497
0.11,1.236101293573766
0.11,1.242243211569053
0.11,1.248174174243714
0.11,1.2539045212145636
0.11,1.259443953599097
0.11,1.26480158035237
0.11,1.269985960847647
0.11,1.275005144025303
0.135,1.2798667044060767
0.135,1.2845777752391738
0.135,1.2891450790318144
0.135,1.2935749556847338
0.135,1.2978733884385725
0.135,1.3020460278172505
0.135,1.306098213738096
0.135,1.3100349959431563
0.135,1.313861152892318
0.135,1.3175812092462587
0.135,1.3211994520558805
0.135,1.32471994576451
0.135,1.328146546119676
0.16,1.33148291308279
0.16,1.3347325228173645
0.16,1.3378986788291423
0.16,1.3409845223254666
0.16,1.3439930418551025
0.16,1.3469270822846318
0.16,1.349789353162736
0.16,1.3525824365193146
0.16,1.3553087941424051
0.16,1.3579707743723537
0.16,1.3605706184493205
0.16,1.3631104664473204
0.16,1.3655923628252011
0.185,1.368018261622523
0.185,1.3703900313260982
0.185,1.3727094594307443
0.185,1.3749782567161446
