b,alpha
3.06,0.001999997999892958
3.06,0.003999990907733255
3.06,0.005999980539082349
3.06,0.007999968709768794
3.06,0.009999957236526108
3.06,0.011999947936648115
3.06,0.01399994262885762
3.06,0.015999943132938992
3.06,0.017999951270514722
3.06,0.01999996886507716
3.06,0.021999997742309627
3.06,0.02400003973028755
3.06,0.02600009665982072
3.06,0.028000170364691622
3.06,0.03000026268190508
3.06,0.03200037545196153
3.06,0.034000510519163925
3.06,0.036000669731769394
3.06,0.03800085494242562
3.06,0.04000106800825943
3.06,0.04200131079129398
3.06,0.04400158515859541
3.06,0.046001892982632075
3.06,0.04800223614147897
3.06,0.050002616519139564
3.06,0.0520030360057441
3.06,0.05400349649790537
3.06,0.05600399989891291
3.06,0.05800454811904406
3.06,0.06000514307581665
3.06,0.06200578669427872
3.06,0.06400648090726505
3.06,0.06600722765566597
3.06,0.06800802888871603
3.06,0.0700088865642413
3.06,0.07200980264896288
3.06,0.07401077911877117
3.06,0.07601181795897016
3.06,0.07801292116456864
3.06,0.08001409074057945
3.06,0.08201532870225793
3.06,0.08401663707542549
3.06,0.08601801789668563
3.06,0.0880194732137811
3.06,0.09002100508580925
3.06,0.09202261558354008
3.06,0.09402430678968388
3.06,0.09602608079917677
3.06,0.09802793971947191
3.06,0.10002988567081396
3.06,0.10203192078653567
3.06,0.10403404721334106
3.06,0.1060362671115911
3.06,0.10803858265558404
3.06,0.11004099603387582
3.06,0.1120435094495363
3.06,0.114046125120468
3.06,0.11604884527968051
3.06,0.11805167217559921
3.06,0.12005460807236056
3.06,0.12205765525009693
3.06,0.12406081600524595
3.06,0.12606409265085608
3.06,0.12806748751687
3.06,0.13007100295044272
3.06,0.13207464131623878
3.06,0.13407840499674042
3.06,0.13608229639254954
3.06,0.13808631792270076
3.06,0.1400904720249721
3.06,0.14209476115618702
3.06,0.14409918779254752
3.06,0.14610375442992146
3.06,0.14810846358417248
3.06,0.1501133177914903
3.06,0.15211831960868746
3.06,0.15412347161353146
3.06,0.15612877640506803
3.06,0.15813423660393805
3.06,0.16013985485272034
3.06,0.16214563381624228
3.06,0.16415157618191975
3.06,0.16615768466008654
3.06,0.1681639619843267
3.06,0.17017041091181767
3.06,0.17217703422364997
3.06,0.1741838347251982
3.06,0.17619081524643238
3.085,0.17819797864228046
3.085,0.18020532779296872
3.085,0.18221286560436803
3.085,0.1842205950083571
3.085,0.1862285189631592
3.085,0.1882366404537061
3.085,0.19024496249199654
3.085,0.19225348811746057
3.085,0.19426222039730826
3.085,0.19627116242691192
3.085,0.19828031733016319
3.085,0.20028968825984658
3.085,0.20229927839801382
3.085,0.2043090909563593
3.085,0.2063191291766005
3.085,0.20832939633085115
3.085,0.2103398957220189
3.085,0.21235063068418095
3.085,0.21436160458297673
3.085,0.21637282081600814
3.085,0.21838428281322386
3.085,0.22039599403733068
3.085,0.2224079579841836
3.085,0.22442017818320573
3.085,0.22643265819778244
3.11,0.22844540162568097
3.11,0.23045841209946313
3.11,0.23247169328691503
3.11,0.23448524889144576
3.11,0.23649908265254196
3.11,0.2385131983461743
3.11,0.24052759978523847
3.11,0.24254229082000206
3.11,0.24455727533852215
3.11,0.2465725572671187
3.11,0.2485881405707927
3.11,0.25060402925370606
3.11,0.2526202273596196
3.11,0.2546367389723579
3.11,0.25665356821628155
3.11,0.25867071925674145
3.11,0.2606881963005684
3.11,0.26270600359654017
3.11,0.26472414543586675
3.11,0.2667426261526753
3.11,0.26876145012450414
3.11,0.2707806217727967
3.11,0.27280014556340687
3.11,0.2748200260070947
3.11,0.27684026766005143
3.11,0.2788608751243961
3.11,0.2808818530487197
3.11,0.28290320612858944
3.11,0.2849249391070926
3.11,0.2869470567753685
3.16,0.2889695639731545
3.16,0.2909924655893301
3.16,0.2930157665624712
3.16,0.2950394718814088
3.16,0.29706358658579396
3.16,0.2990881157666715
3.16,0.3011130645670536
3.16,0.30313843818250596
3.16,0.3051642418617311
3.16,0.3071904809071744
3.16,0.30921716067561555
3.16,0.31124428657878533
3.16,0.313271864083978
3.16,0.3152998987146726
3.16,0.3173283960511671
3.16,0.3193573617312058
3.16,0.32138680145063436
3.16,0.32341672096404356
3.16,0.325447126085427
3.16,0.32747802268885123
3.16,0.32950941670912764
3.16,0.33154131414249155
3.16,0.33357372104729777
3.16,0.3356066435447083
3.16,0.337640087819411
3.16,0.3396740601203209
3.16,0.34170856676131284
3.16,0.343743614121944
3.16,0.345779208648206
3.16,0.34781535685326026
3.16,0.3498520653182103
3.16,0.35188934069285593
3.16,0.35392718969647996
3.16,0.35596561911863384
3.16,0.35800463581992925
3.16,0.36004424673285274
3.16,0.36208445886257346
3.16,0.364125279287779
3.235,0.36616671516150734
3.235,0.36820877371199773
3.235,0.3702514622435487
3.235,0.37229478813739386
3.235,0.3743387588525722
3.235,0.37638338192683624
3.235,0.37842866497754746
3.235,0.3804746157025931
3.235,0.38252124188132225
3.235,0.3845685513754818
3.235,0.386616552130172
3.235,0.3886652521748135
3.235,0.39071465962412993
3.235,0.3927647826791396
3.235,0.3948156296281589
3.235,0.39686720884783316
3.235,0.39891952880415865
3.235,0.4009725980535443
3.235,0.40302642524386717
3.235,0.4050810191155562
3.235,0.40713638850268047
3.235,0.409192542334066
3.235,0.41124948963441715
