b,alpha
1.96,0.001154700410121379
1.96,0.0023094040384849528
1.96,0.0034641180921567796
1.96,0.004618849777786945
1.96,0.005773606303357835
1.96,0.0069283948774838235
1.96,0.00808322271023556
1.96,0.009238097013157278
1.96,0.010393024999788447
1.96,0.011548013885846331
1.96,0.012703070889556184
1.96,0.013858203232010839
1.96,0.015013418137410707
1.96,0.01616872283339502
1.96,0.01732412455138964
1.96,0.018479630526837935
1.96,0.01963524799961734
1.96,0.02079098421422213
1.96,0.02194684642019827
1.96,0.023102841872343023
1.96,0.02425897783113228
1.96,0.025415261562922908
1.96,0.026571700340345433
1.96,0.02772830144255914
1.96,0.028885072155623363
1.96,0.030042019772776186
1.96,0.031199151594747704
1.96,0.03235647493009576
1.96,0.03351399709552882
1.96,0.03467172541618684
1.96,0.035829667226004426
1.96,0.036987829868008804
1.96,0.0381462206946453
1.96,0.03930484706809896
1.96,0.04046371636061034
1.96,0.04162283595482121
1.96,0.04278221324409262
1.96,0.043941855632812804
1.96,0.04510177053675351
1.96,0.04626196538337489
1.96,0.04742244761216963
1.96,0.04858322467500777
1.96,0.049744304036428426
1.96,0.0509056931740329
1.96,0.052067399578762955
1.96,0.05322943075528396
1.96,0.05439179422229802
1.96,0.055554497512887095
1.96,0.05671754817487797
1.96,0.057880953771150975
1.96,0.05904472188001687
1.96,0.060208860095549224
1.96,0.0613733760279397
1.96,0.06253827730383232
1.96,0.06370357156670563
1.96,0.06486926647720925
1.96,0.06603536971351939
1.96,0.0672018889717042
1.96,0.06836883196608316
1.96,0.06953620642959077
1.96,0.07070402011413283
1.96,0.07187228079097797
1.96,0.07304099625109053
1.96,0.0742101743055341
1.96,0.0753798227858302
1.96,0.07654994954433943
1.96,0.0777205624546352
1.96,0.07889166941189228
1.96,0.08006327833326181
1.96,0.08123539715827247
1.96,0.08240803384919469
1.96,0.08358119639146018
1.96,0.08475489279403314
1.96,0.08592913108982328
1.96,0.08710391933607359
1.96,0.08827926561477356
1.96,0.08945517803305396
1.96,0.09063166472360672
1.96,0.09180873384508641
1.96,0.09298639358252932
1.96,0.0941646521477676
1.96,0.09534351777986533
1.96,0.0965229987455159
1.96,0.09770310333949282
1.96,0.09888383988507271
1.96,0.10006521673445941
1.96,0.10124724226923772
1.96,0.10242992490081394
1.96,0.10361327307084116
1.96,0.10479729525169275
1.96,0.10598199994689443
1.96,0.10716739569159775
1.96,0.1083534910530282
1.96,0.10954029463094518
1.96,0.11072781505812909
1.96,0.1119160610008327
1.96,0.11310504115927011
1.96,0.11429476426809096
1.96,0.1154852390968686
1.96,0.11667647445058717
1.96,0.11786847917013271
1.96,0.11906126213279311
1.96,0.12025483225276866
1.96,0.12144919848166588
1.96,0.1226443698090147
1.96,0.12384035526278662
1.96,0.1250371639099173
1.96,0.1262348048568303
1.96,0.12743328724996764
1.96,0.1286326202763352
1.96,0.12983281316402853
1.96,0.1310338751828016
1.96,0.1322358156446012
1.96,0.13343864390413193
1.96,0.13464236935942295
1.96,0.13584700145239445
1.96,0.13705254966943328
1.96,0.13825902354197514
1.96,0.13946643264709144
1.96,0.14067478660807944
1.96,0.14188409509507355
1.96,0.14309436782562893
1.96,0.14430561456535757
1.96,0.14551784512853475
1.96,0.14673106937871966
1.96,0.14794529722940117
1.96,0.1491605386446251
1.96,0.15037680363964262
1.96,0.15159410228156842
1.96,0.1528124446900293
1.96,0.15403184103784498
1.96,0.15525230155169006
1.96,0.1564738365127901
1.96,0.15769645625759007
1.96,0.1589201711784756
1.96,0.16014499172446484
1.96,0.16137092840191924
1.96,0.1625979917752792
1.96,0.1638261924677741
1.96,0.16505554116218163
1.96,0.16628604860155594
1.96,0.16751772558999745
1.96,0.16875058299340734
1.96,0.16998463174026665
1.96,0.17121988282241768
1.96,0.17245634729585244
1.96,0.17369403628152122
1.96,0.1749329609661354
1.96,0.17617313260299217
1.96,0.17741456251280577
1.96,0.17865726208454963
1.96,0.17990124277630054
1.96,0.18114651611611082
1.96,0.18239309370286919
1.96,0.18364098720719182
1.96,0.1848902083723152
1.96,0.1861407690149955
1.96,0.18739268102643739
1.96,0.18864595637320414
1.96,0.189900607098176
1.96,0.19115664532149174
1.96,0.1924140832415134
1.96,0.193672933135803
1.96,0.19493320736211983
1.96,0.1961949183594048
1.96,0.19745807864881534
1.96,0.1987227008347372
1.96,0.19998879760583602
1.96,0.2012563817361099
1.96,0.2025254660859562
1.96,0.2037960636032585
1.96,0.20506818732448268
1.96,0.20634185037578792
1.96,0.20761706597416169
1.96,0.20889384742855216
1.96,0.21017220814103285
1.96,0.21145216160797592
1.96,0.2127337214212403
1.96,0.21401690126938205
1.96,0.21530171493887137
1.96,0.21658817631533953
1.96,0.21787629938482833
1.96,0.21916609823507113
1.96,0.22045758705678056
1.96,0.2217507801449656
1.96,0.22304569190025175
1.96,0.2243423368302348
1.96,0.2256407295508484
1.96,0.22694088478774355
1.96,0.22824281737770502
1.96,0.22954654227007132
1.96,0.23085207452818046
1.96,0.2321594293308425
1.96,0.23346862197382662
1.96,0.23477966787137422
1.96,0.236092582557725
1.96,0.23740738168868408
1.96,0.2387240810431904
1.96,0.24004269652492244
1.96,0.2413632441639275
1.96,0.24268574011826521
1.96,0.24401020067568652
1.96,0.245336642255333
1.96,0.24666508140946233
1.96,0.24799553482519715
1.96,0.24932801932630733
1.96,0.2506625518750143
1.96,0.2519991495738215
1.96,0.2533378296673795
1.96,0.2546786095443709
1.96,0.2560215067394352
1.96,0.2573665389351126
1.96,0.25871372396382747
1.96,0.26006307980989507
1.96,0.26141462461156567
1.96,0.26276837666309794
1.96,0.2641243544168641
1.96,0.2654825764854947
1.96,0.2668430616440479
1.96,0.26820582883222316
1.96,0.26957089715660115
1.96,0.2709382858929302
1.96,0.272308014488438
1.96,0.2736801025641919
1.96,0.27505456991749155
1.96,0.2764314365242999
2.11,0.27781072254171757
2.11,0.2791924483104977
2.11,0.28057663435759717
2.11,0.28196330139878023
2.11,0.28335247034125294
2.11,0.2847441622863529
2.11,0.28613839853227824
2.11,0.2875352005768625
2.11,0.28893459012039846
2.11,0.2903365890685099
2.11,0.2917412195350714
2.11,0.2931485038451768
2.11,0.2945584645381609
2.11,0.29597112437067497
2.11,0.2973865063198062
2.11,0.2988046335862667
2.11,0.30022552959762117
2.11,0.30164921801158584
2.11,0.3030757227193728
2.11,0.30450506784910364
2.11,0.305937277769278
2.11,0.30737237709230214
2.11,0.3088103906780863
2.11,0.3102513436377014
2.11,0.3116952613371025
2.11,0.31314216940092354
2.11,0.3145920937163307
2.11,0.3160450604369595
2.11,0.3175010959869122
2.11,0.31896022706483246
2.11,0.3204224806480591
2.11,0.3218878839968473
2.11,0.32335646465867735
2.11,0.3248282504726366
2.11,0.32630326957388894
2.11,0.327781550398222
2.11,0.32926312168668487
2.11,0.330748012490312
2.11,0.33223625217493435
2.11,0.3337278704260852
2.11,0.3352228972539989
2.11,0.3367213629987043
2.11,0.3382232983352178
2.11,0.3397287342788358
2.11,0.3412377021905308
2.11,0.34275023378245184
2.11,0.34426636112353465
2.11,0.34578611664521625
2.11,0.34730953314727203
2.11,0.34883664380375956
2.11,0.3503674821690835
2.11,0.35190208218418606
2.11,0.3534404781828539
2.11,0.35498270489815803
2.11,0.3565287974690201
2.11,0.35807879144691745
2.11,0.3596327228027174
2.11,0.3611906279336577
2.11,0.3627525436704662
2.11,0.3643185072846323
2.11,0.3658885564958232
2.11,0.3674627294794617
2.11,0.36904106487445354
2.11,0.37062360179108644
2.11,0.37221037981908967
2.11,0.37380143903586344
2.11,0.37539682001489105
2.11,0.3769965638343206
2.11,0.3786007120857393
2.11,0.38020930688312876
2.11,0.38182239087202513
2.11,0.3834400072388649
2.11,0.38506219972054684
2.11,0.38668901261419436
2.11,0.38832049078714076
2.11,0.38995667968712744
2.11,0.3915976253527359
2.11,0.39324337442404855
2.11,0.3948939741535471
2.11,0.39654947241726235
2.11,0.3982099177261698
2.11,0.39987535923784784
2.11,0.4015458467684009
2.11,0.40322143080465583
2.11,0.4049021625166412
2.11,0.4065880937703516
2.11,0.40827927714081186
2.11,0.4099757659254474
2.11,0.41167761415776166
2.11,0.41338487662134626
2.11,0.4150976088642142
2.11,0.41681586721347785
2.11,0.4185397087903787
2.11,0.420269191525675
2.11,0.4220043741754063
2.11,0.42374531633703405
2.11,0.4254920784659783
2.11,0.4272447218925628
2.11,0.4290033088393704
2.11,0.43076790243903396
2.11,0.4325385667524658
2.11,0.43431536678754185
2.11,0.4360983685182588
2.11,0.43788763890437066
2.11,0.43968324591152314
2.11,0.44148525853190385
2.11,0.4432937468054185
2.11,0.4451087818414142
2.11,0.44693043584096154
2.11,0.44875878211971965
2.11,0.4505938951313967
2.11,0.45243585049182544
2.11,0.45428472500367845
2.11,0.45614059668183354
2.11,0.4580035447794222
2.11,0.4598736498145697
2.11,0.4617509935978642
2.11,0.46363565926056194
2.11,0.46552773128356745
2.11,0.4674272955272036
2.11,0.4693344392618044
2.11,0.4712492511991524
2.11,0.47317182152479287
2.11,0.47510224193125355
2.11,0.47704060565219525
2.11,0.4789870074975334
2.11,0.48094154388955956
2.11,0.482904312900089
2.11,0.4848754142886889
2.11,0.4868549495420032
2.11,0.48884302191422674
2.11,0.49083973646876283
2.11,0.49284520012110783
2.11,0.4948595216830032
2.11,0.49688281190790645
2.11,0.49891518353781855
2.11,0.500956751351528
2.11,0.5030076322143108
2.11,0.5050679451291513
2.11,0.5071378112895292
2.11,0.5092173541338361
2.11,0.5113066994014823
2.11,0.5134059751907538
2.11,0.5155153120184862
2.11,0.5176348428816239
2.11,0.5197647033207398
2.11,0.5219050314855841
2.11,0.524055968202742
2.11,0.5262176570454872
2.11,0.5283902444059071
2.11,0.5305738795694007
2.11,0.5327687147916246
2.11,0.5349749053780093
2.11,0.5371926097659206
2.11,0.5394219896095948
2.11,0.5416632098679456
2.11,0.5439164388953676
2.11,0.546181848535652
2.11,0.5484596142191512
2.11,0.5507499150633175
2.11,0.5530529339767613
2.11,0.5553688577669814
2.11,0.5576978772519117
2.11,0.5600401873754562
2.11,0.5623959873271761
2.11,0.5647654806663162
2.11,0.5671488754503508
2.11,0.5695463843682502
2.11,0.5719582248786781
2.11,0.5743846193533306
2.11,0.5768257952256621
2.11,0.579281985145216
2.11,0.5817534271378397
2.11,0.5842403647720328
2.11,0.5867430473317228
2.11,0.5892617299957561
2.16,0.5917966740244253
2.16,0.5943481469533561
2.16,0.5969164227951067
2.16,0.5995017822488472
2.16,0.6021045129184999
2.16,0.6047249095397598
2.16,0.6073632742164179
2.16,0.6100199166664533
2.16,0.612695154478369
2.16,0.6153893133782863
2.16,0.6181027275083387
2.16,0.6208357397169334
2.16,0.6235887018614918
2.16,0.6263619751243038
2.16,0.629155930342181
2.16,0.6319709483506264
2.16,0.6348074203432901
2.16,0.6376657482475117
2.16,0.6405463451168261
2.16,0.6434496355413324
2.16,0.6463760560769122
2.16,0.6493260556943181
2.16,0.6523000962492443
2.16,0.6552986529745389
2.16,0.6583222149958137
2.16,0.6613712858717709
2.16,0.6644463841606686
2.16,0.6675480440144292
