b,alpha
2.26,4.712160915387242e-8
2.26,0.01362941035212713
2.26,0.027253928974176292
2.26,0.04086867478460467
2.26,0.05446878794044233
2.26,0.06804944031234397
2.26,0.08160584578837347
2.26,0.09513327035277115
2.26,0.1086270419062073
2.285,0.1220825597020218
2.285,0.13549530344836497
2.285,0.14886084200715455
2.285,0.16217484162276646
2.285,0.17543307366173946
2.31,0.1886314218328985
2.31,0.20176588886352267
2.31,0.21483260260990233
2.31,0.22782782158696482
2.31,0.24074793990600774
2.31,0.25358949161331273
2.31,0.26634915442840273
2.31,0.2790237528839716
2.31,0.2916102608739304
2.31,0.30410580361990525
2.435,0.3165076590702285
2.435,0.32881325874827333
2.435,0.34102018807034723
2.435,0.35312618615553376
2.435,0.3651291451523913
2.435,0.3770271091089592
2.435,0.3888182724142894
2.435,0.40050097784057714
2.435,0.41207371421609557
2.485,0.42353511375940095
2.485,0.4348839491055542
2.485,0.44611913005515447
2.51,0.45723970007641235
2.51,0.46824483259032845
2.51,0.47913382706790103
2.56,0.4899061049676248
2.56,0.5005612055405377
2.585,0.5110987815285813
2.585,0.5215185947810539
2.61,0.5318205118124315
2.61,0.5420044993234245
2.635,0.5520706197055909
2.66,0.5620190265485663
2.66,0.5718499601670963
2.66,0.5815637431640053
2.735,0.5911607760433859
2.735,0.6006415328871149
2.735,0.6100065571062642
2.735,0.6192564573184377
2.735,0.6283919034161153
2.835,0.6374136222057762
2.835,0.6463223937304311
2.835,0.6551190475635458
2.835,0.6638044591828101
2.86,0.6723795464660401
2.86,0.6808452663118554
2.91,0.6892026113870307
2.91,0.6974526070015401
2.935,0.7055963081118642
2.935,0.7136347964522647
2.985,0.7215691777933978
2.985,0.729400579326986
2.985,0.7371301471749497
3.06,0.7447590440209813
3.06,0.7522884468621421
3.06,0.759719544877937
3.085,0.7670535374138996
3.11,0.7742916320766702
3.11,0.7814350429372683
3.16,0.7884849888392388
3.16,0.79544269180814
3.16,0.8023093755588553
3.235,0.8090862640971195
3.235,0.815774580411651
3.235,0.8223755452532412
3.285,0.8288903759971988
3.31,0.8353202855855884
3.335,0.8416664815456631
3.335,0.8479301650810755
3.36,0.854112530232381
3.385,0.8602147631035384
3.435,0.8662380411511021
3.435,0.8721835325329472
3.435,0.8780523955134353
3.485,0.8838457779220196
3.51,0.8895648166624183
3.51,0.8952106372695334
3.51,0.9007843535114501
3.585,0.906287067033916
3.585,0.9117198670448114
3.585,0.9170838300362423
3.66,0.9223800195419509
3.66,0.9276094859278781
3.66,0.9327732662137816
3.735,0.9378723839239336
3.735,0.9429078489649768
3.735,0.9478806575291674
3.785,0.9527917920212584
3.81,0.9576422210074191
3.81,0.9624328991846153
3.885,0.9671647673690199
3.885,0.9718387525020337
3.885,0.9764557676726177
3.885,0.9810167121546988
3.885,0.9855224714584586
4.01,0.9899739173944242
4.01,0.9943719081492818
4.01,0.9987172883724728
4.035,1.0030108892726048
4.085,1.0072535287228424
4.085,1.0114460113744232
4.085,1.01558912877757
4.16,1.0196836595090486
4.16,1.0237303693057083
4.21,1.0277300112033645
4.21,1.031683325680447
4.235,1.0355910408058382
4.26,1.0394538723904005
4.285,1.0432725241417127
4.31,1.0470476878215353
4.36,1.0507800434056354
4.36,1.0544702592455302
4.36,1.058118992231824
4.435,1.0617268879587822
4.435,1.0652945808898435
4.485,1.0688226945237487
4.485,1.0723118415610835
4.51,1.0757626240709122
4.56,1.0791756336573284
4.56,1.0825514516256902
4.585,1.0858906491483533
4.635,1.0891937874297184
4.635,1.0924614178704473
4.66,1.0956940822306749
4.71,1.0988923127920964
4.71,1.1020566325188201
4.735,1.1051875552168404
4.76,1.108285585692065
4.785,1.1113512199067819
4.81,1.1143849451344996
4.86,1.1173872401130749
4.86,1.120358575196082
4.86,1.1232994125023463
4.935,1.1262102060658932
4.935,1.1290914022260639
4.935,1.1319434394275678
5.01,1.1347667482861865
5.01,1.1375617519041012
5.035,1.1403288660075364
5.06,1.1430684990823523
5.06,1.1457810525075809
5.135,1.1484669206868874
5.135,1.151126491177964
5.135,1.1537601448198453
5.21,1.1563682558581454
5.21,1.1589511920682263
5.235,1.1615093148763032
5.26,1.1640429794784877
5.285,1.1665525349577908
5.31,1.1690383243990896
5.335,1.1715006850020768
5.36,1.1739399481922068
5.385,1.1763564397296586
5.41,1.1787504798163304
5.435,1.1811223832008901
5.46,1.1834724592818993
5.485,1.1858010122090354
5.51,1.1881083409824327
5.535,1.1903947395501673
5.56,1.192660496903909
5.585,1.1949058971727662
5.61,1.1971312197153465
